Name,days_served
STEINRUCK Jutta,1813
ŠTĚTINA Jaromír,0
STEVENS Helga,0
STIER Davor Ivo,365
STIHLER Catherine,5460
STOLOJAN Theodor Dumitru,2395
von STORCH Beatrix,0
STUGER Olaf,0
STYLIANIDES Christos,0
ŠUICA Dubravka,365
SULÍK Richard,0
ŠULIN Patricija,0
SVOBODA Pavel,0
SWINBURNE Kay,1813
SYLIKIOTIS Neoklis,0
SYNADINOS Eleytherios,0
SZÁJER József,3713
SZANYI Tibor,0
SZEJNFELD Adam,0
TAJANI Antonio,5042
TAMBURRANO Dario,0
TĂNĂSESCU Claudiu Ciprian,1813
TANG Paul,0
TANNOCK Charles,5460
TAPARDEL Claudia,0
TARABELLA Marc,2885
TARAND Indrek,1813
TAYLOR Keith,1490
TELIČKA Pavel,0
TERHO Sampo,1162
TERRICABRAS Josep-Maria,0
THEOCHAROUS Eleni,1813
THEURER Michael,1813
THOMAS Isabelle,776
THUN UND HOHENSTEIN Róża Gräfin von,1813
THYSSEN Marianne,8232
TOIA Patrizia,3633
TŐKÉS László,2394
TŐKÉS László,0
TOMAŠEVSKI Valdemar,1813
TOMAŠIĆ Ruža,365
TOMC Romana,0
TOOM Yana,0
TØRNÆS Ulla,0
TORVALDS Nils,726
TOŠENOVSKÝ Evžen,1813
TOTI Giovanni,0
TREBESIUS Ulrike,0
TREMOSA i BALCELLS Ramon,1813
TROSZCZYNSKI Mylène,0
TRÜPEL Helga,3633
TURMES Claude,5460
UJAZDOWSKI Kazimierz Michał,0
UJHELYI István,0
ULVSKOG Marita,1813
UNGUREANU Traian,1813
URTASUN Ernest,0
URUTCHEV Vladimir,2582
USPASKICH Viktor,1220
VAJGL Ivo,1813
VALCÁRCEL Ramón Luis,0
VĂLEAN Adina-Ioana,2738
VALENCIANO MARTÍNEZ-OROZCO Elena,3177
VALLI Marco,0
VALLINA Ángela,0
VANA Monika,0
VAN BREMPT Kathleen,3167
VAN ORDEN Geoffrey,5460
VAN OVERTVELDT Johan,0
VAUGHAN Derek,1813
VÄYRYNEN Paavo,4490
VERGIAT Marie-Christine,1813
VERHEYEN Sabine,1813
VERHOFSTADT Guy,1813
VIEGAS Miguel,0
